feature,class,populated_count,total_count,coverage_percent
isbn13_clean,positive_bestseller,1790,1811,98.84
isbn13_clean,negative_non_bestseller,5493,5493,100.0
title,positive_bestseller,1811,1811,100.0
title,negative_non_bestseller,5493,5493,100.0
author,positive_bestseller,1779,1811,98.23
author,negative_non_bestseller,5474,5493,99.65
publisher,positive_bestseller,1805,1811,99.67
publisher,negative_non_bestseller,5487,5493,99.89
publish_year,positive_bestseller,1805,1811,99.67
publish_year,negative_non_bestseller,5493,5493,100.0
page_count,positive_bestseller,1808,1811,99.83
page_count,negative_non_bestseller,2844,5493,51.77
ol_edition_count,positive_bestseller,1053,1811,58.14
ol_edition_count,negative_non_bestseller,5493,5493,100.0
ol_subjects,positive_bestseller,520,1811,28.71
ol_subjects,negative_non_bestseller,2566,5493,46.71
ol_ebook_access,positive_bestseller,1053,1811,58.14
ol_ebook_access,negative_non_bestseller,5493,5493,100.0
ol_languages,positive_bestseller,954,1811,52.68
ol_languages,negative_non_bestseller,5493,5493,100.0
ol_first_publish_year,positive_bestseller,1043,1811,57.59
ol_first_publish_year,negative_non_bestseller,5493,5493,100.0
