feature,correlation_with_nyt_weeks_on_list
ol_edition_count,0.5343457949343062
num_archive_ids,0.4915092072718147
num_ol_subjects,0.32013187748891087
google_pub_year,-0.2914431605156116
years_since_google_pub,0.29144316051561125
ol_first_publish_year,-0.24486017090040751
years_since_first_publish,0.2448601709004024
num_ol_languages,0.19396207849549524
google_vs_ol_year_gap,0.15936193362698473
average_rating,-0.11283332463453147
nyt_rank,-0.08422240131773084
author_total_works,0.08094248089411041
ratings_count,-0.07435310294567413
description_word_count,-0.05777404831056258
num_lists_appeared,-0.04219908479199308
page_count_gap_google_minus_ol,-0.03403734936822422
page_count,-0.03287785359160932
ol_number_of_pages,0.029229426711759134
google_pub_month,0.029068207509095265
num_google_categories,0.012869956563854304
