column,count,mean,std,min,25%,50%,75%,max
nyt_weeks_on_list,1811.0,18.89,76.49,0.0,1.0,2.0,7.0,893.0
nyt_rank,1811.0,8.75,3.97,1.0,6.0,9.0,12.0,15.0
num_lists_appeared,1811.0,1.25,0.45,1.0,1.0,1.0,1.0,3.0
page_count,1807.0,179.35,217.49,0.0,0.0,0.0,337.0,1679.0
average_rating,80.0,4.4,0.86,1.0,4.0,5.0,5.0,5.0
ratings_count,80.0,120.91,685.44,1.0,1.0,2.0,3.25,5642.0
num_google_categories,1811.0,0.99,0.12,0.0,1.0,1.0,1.0,1.0
google_pub_year,1805.0,2024.01,3.79,1980.0,2025.0,2025.0,2025.0,2027.0
google_pub_month,1621.0,6.2,3.27,1.0,3.0,6.0,9.0,12.0
google_pub_decade,1805.0,2018.99,3.73,1980.0,2020.0,2020.0,2020.0,2020.0
description_word_count,1811.0,190.68,111.4,0.0,114.0,194.0,264.0,771.0
primary_isbn13_ol,1054.0,9781758839670.01,3402047912.33,9780008728090.0,9780593641807.25,9781335919949.5,9781631495694.0,9798988534907.0
ol_edition_count,1053.0,7.05,24.77,1.0,1.0,2.0,5.0,398.0
ol_number_of_pages,805.0,350.92,182.86,1.0,256.0,350.0,416.0,2896.0
author_total_works,1054.0,38.28,38.14,0.0,6.0,20.0,73.0,100.0
ol_first_publish_year,1043.0,2022.0,14.39,1600.0,2023.0,2025.0,2025.0,2026.0
num_ol_subjects,1054.0,2.78,3.86,0.0,0.0,0.0,5.0,10.0
num_ol_languages,1054.0,1.06,1.06,0.0,1.0,1.0,1.0,16.0
num_archive_ids,1054.0,0.91,5.79,0.0,0.0,0.0,0.0,80.0
ol_first_publish_decade,1043.0,2017.35,14.31,1600.0,2020.0,2020.0,2020.0,2020.0
page_count_gap_google_minus_ol,804.0,-189.4,230.36,-2896.0,-366.25,-176.0,1.0,188.0
years_since_google_pub,1805.0,1.99,3.79,-1.0,1.0,1.0,1.0,46.0
years_since_first_publish,1043.0,4.0,14.39,0.0,1.0,1.0,3.0,426.0
google_vs_ol_year_gap,1041.0,1.41,13.51,-45.0,0.0,0.0,0.0,415.0
